DISEASE/TRAIT	MAPPED_TRAIT	STUDY ACCESSION	Other	Background
Cannabis use (age at onset)	Cannabis use|| age at onset	GCST006386	Cannabis use|| age at onset	
Cannabis use (age at onset)	Cannabis use|| age at onset	GCST002917	Cannabis use|| age at onset	
Schizophrenia (age at onset)	schizophrenia|| age at onset	GCST001115	schizophrenia|| age at onset	
Parkinson's disease in GBA mutation carriers (age at onset)	Parkinson's disease|| GBA carrier status|| age at onset	GCST003060	age at onset|| Parkinson's disease	GBA carrier status
Bipolar disorder (age of onset and psychotic symptoms)	age at onset|| psychotic symptoms|| bipolar disorder	GCST000969	age at onset|| psychotic symptoms|| bipolar disorder	
Curve progression in adolescent idiopathic scoliosis	adolescent idiopathic scoliosis|| disease progression measurement	GCST004981	adolescent idiopathic scoliosis|| disease progression measurement	
Severe progression in rheumatoid arthritis	rheumatoid arthritis|| disease progression measurement	GCST004998	rheumatoid arthritis|| disease progression measurement	
Liver transplant-free survival in primary sclerosing cholangitis (time to event)	event free survival time|| sclerosing cholangitis	GCST005859	event free survival time|| sclerosing cholangitis	
Cholangiocarcinoma in primary sclerosing cholangitis (time to event)	event free survival time|| cholangiocarcinoma|| sclerosing cholangitis	GCST005860	event free survival time|| cholangiocarcinoma|| sclerosing cholangitis	
Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy	diffuse large B-cell lymphoma|| event free survival time|| response to immunochemotherapy	GCST003178	diffuse large B-cell lymphoma|| event free survival time|| response to immunochemotherapy	
Breast cancer (survival)	event free survival time|| survival time|| breast carcinoma	GCST001373	event free survival time|| survival time|| breast carcinoma	
Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	event free survival time|| type I diabetes mellitus|| carrier status|| autoantibody measurement	GCST006197	event free survival time|| type I diabetes mellitus|| autoantibody measurement	carrier status
Overall survival in osteosarcoma	osteosarcoma|| overall survival	GCST005158	osteosarcoma|| overall survival	
Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)	progression free survival|| metastatic colorectal cancer|| response to cetuximab|| response to CAPOX-B	GCST003058	progression free survival|| metastatic colorectal cancer|| response to cetuximab|| response to CAPOX-B	
Progression free survival in metastatic colorectal cancer (chemotherapy interaction)	progression free survival|| metastatic colorectal cancer|| response to cetuximab|| response to CAPOX-B	GCST003057	progression free survival|| metastatic colorectal cancer|| response to cetuximab|| response to CAPOX-B	
Breast cancer (survival)	survival time|| breast carcinoma	GCST005106	survival time|| breast carcinoma	
Breast cancer (survival)	survival time|| breast carcinoma	GCST002727	survival time|| breast carcinoma	
Breast cancer (survival)	estrogen-receptor negative breast cancer|| survival time|| estrogen-receptor positive breast cancer|| breast carcinoma	GCST002861	survival time|| estrogen-receptor negative breast cancer|| estrogen-receptor positive breast cancer|| breast carcinoma	
Survival in breast cancer (estrogen-receptor positive)	event free survival time|| estrogen-receptor positive breast cancer	GCST005901	event free survival time|| estrogen-receptor positive breast cancer	
Survival in endocrine treated breast cancer (estrogen-receptor positive)	event free survival time|| estrogen-receptor positive breast cancer|| response to endocrine therapy	GCST005900	event free survival time|| estrogen-receptor positive breast cancer|| response to endocrine therapy	
Survival in colorectal cancer (distant metastatic)	metastasis measurement|| colorectal cancer|| survival time	GCST003230	metastasis measurement|| colorectal cancer|| survival time	
